keyword,year,title,description,pubDate,originallink,link
탕후루,,"강남구, 국내 최초 '세계청소년백일장 신나, 쉼나!' 개최","백일장은 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내외 국적 청소년 누구나 참여할 수 있다. 참가자는 행사 당일... 또한 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1300인분의 간식을 무료 제공하는 푸드트럭도 운영돼... ",,https://www.pinpointnews.co.kr/news/articleView.html?idxno=384630,https://www.pinpointnews.co.kr/news/articleView.html?idxno=384630
탕후루,,"강남구, 전국 최초 세계청소년백일장 ‘신나, 쉼나!’ 개최","백일장에는 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내‧외 국적 청소년 누구나 참여할 수 있다. 행사 당일... 특히, 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1,300인분의 간식을 무료로 제공하는 푸드트럭을 운영해... ",,https://weeklytrade.co.kr/news/view.html?section=1&category=160&item=&no=96885,https://weeklytrade.co.kr/news/view.html?section=1&category=160&item=&no=96885
탕후루,,"강남구, 전국 최초 세계청소년백일장 '신나, 쉼나!' 개최","백일장에는 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내‧외 국적 청소년 누구나 참여할 수 있다. 행사 당일... 특히 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1,300인분의 간식을 무료로 제공하는 푸드트럭을 운영해, 지역... ",,http://www.hg-times.com/news/articleView.html?idxno=276084,http://www.hg-times.com/news/articleView.html?idxno=276084
탕후루,,"강남구, 전국 최초 세계청소년백일장 '신나, 쉼나!'","9세부터 18세까지(<b>2016</b>년생~2007년생) 국내외 국적 청소년 누구나 참여할 수 있다. 행사 당일 현장에서 글쓰기... 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1300인분 간식을 무료로 제공한다. 조성명 강남구청장은... ",,https://www.newsis.com/view/NISX20251014_0003361551,https://n.news.naver.com/mnews/article/003/0013532674?sid=102
탕후루,,"강남구, 전국 첫 '세계청소년백일장 신나, 쉼나!' 연다","9~18세(<b>2016</b>년~2007년생) 국내외 국적 청소년 누구나 참여할 수 있으며 행사 당일 현장에서 제시되는 주제로 시... 특히 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1천300인분의 간식을 무료로 제공하는 푸드트럭이... ",,http://www.readersnews.com/news/articleView.html?idxno=117151,http://www.readersnews.com/news/articleView.html?idxno=117151
탕후루,,"강남구, 전국 최초 세계청소년백일장 ‘신나, 쉼나!’ 개최","백일장에는 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내외 국적 청소년 누구나 참여할 수 있다. 행사 당일... 특히, 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1,300인분의 간식을 무료로 제공하는 푸드트럭을 운영해, 지역... ",,https://weekly.cnbnews.com/news/article.html?no=192600,https://weekly.cnbnews.com/news/article.html?no=192600
탕후루,,"강남구, '전국 첫' 세계청소년백일장 연다","9~18세(<b>2016</b>년~2007년생) 국내외 국적 청소년 누구나 참여할 수 있다. 행사 당일 현장에서 글쓰기 주제가... 특히 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1천300인분의 간식을 무료로 제공하는 푸드트럭이 운영된다.... ",,https://www.yna.co.kr/view/AKR20251014011100004?input=1195m,https://n.news.naver.com/mnews/article/001/0015675580?sid=102
탕후루,,"강남구, 전국 최초 세계청소년백일장 '신나, 쉼나' 개최","백일장에는 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내외 국적 청소년 누구나 참여할 수 있다. 행사 당일... 특히, 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1,300인분의 간식을 무료로 제공하는 푸드트럭을 운영해, 지역... ",,https://www.lcnews.co.kr/news/articleView.html?idxno=113107,https://www.lcnews.co.kr/news/articleView.html?idxno=113107
탕후루,,[Issue Pick]저속 노화(Slow Aging) 솔루션은 있을까,"글로벌 시장조사업체 유로모니터에 따르면 국내 저당 시장 규모는 <b>2016</b>년 903억 원에서 2022년 3,000억 원으로... 마라탕, <b>탕후루</b>, 직화구이 고기, 달콤한 디저트와 이른바 빵집 순례, 간편한 배달음식 등을 통해 먹고... ",,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00013&news_seq_no=5141284,https://n.news.naver.com/mnews/article/057/0001908513?sid=103
탕후루,,"[TF초점] '최고령 여배우' 김영옥, 나이가 무색…귀감 낳은 유튜브 도전","마라탕과 <b>탕후루</b>를 먹는 모습까지 MZ(엠지, 1980~2010년생인 밀레니얼세대와 1990년대 후반~2012년생인 Z세대를... 그는 지난 <b>2016</b>년 방송된 JTBC 예능 프로그램 '힙합의 민족'에 출연해 만난 몬스타엑스 멤버 주헌과의 인연으로... ",,https://news.tf.co.kr/read/entertain/2237198.htm,https://m.entertain.naver.com/article/629/0000419856
탕후루,,"‘무비자 중국’ 열풍... 한국인 153만명, 상하이로 몰렸다 [비즈니스포...","마라탕이나 <b>탕후루</b>, 훠궈 같은 음식이 한국에서 유행하면서 중국 음식에 대한 거부감이 낮아져 도전하기... 대표적인 사례가 <b>2016</b>년 개장한 상하이 디즈니리조트다. 총 4㎢ 면적의 호텔·상업지구·교통 인프라를... ",,https://magazine.hankyung.com/business/article/202508201855b,https://n.news.naver.com/mnews/article/050/0000095402?sid=101
탕후루,,&quot;그 많던 <b>탕후루</b> 어디갔나&quot;…살아남은 마라탕·요아정 비결은?,"14일 업계에 따르면, 대왕카스테라, 대만식 커피, <b>탕후루</b> 등은 인기가 식은 반면, 마라탕과 요아정은... 예를 들어 대왕카스테라는 <b>2016</b>년 홍대, 강남, 이태원 등 MZ세대가 많이 찾는 지역에서 '대만 야시장 음식'으로... ",,http://www.srtimes.kr/news/articleView.html?idxno=183665,http://www.srtimes.kr/news/articleView.html?idxno=183665
탕후루,,"순이엔티 박창우 대표 “숏폼은 유행에 초민감, 달리는 말에 올라타죠&quot;","&quot;숏폼 기본 속성은 바이럴&quot; 순이엔티는 지난해 소속 가수 서이브의 곡 ‘마라<b>탕후루</b>’를 발매해 전... 한편, 순이엔티는 <b>2016</b>년 설립된 글로벌 숏폼 비즈니스 전문 기업이다. 2025년 상반기 MCN 사업 매출은 전년 동기 대비... ",,http://www.fnnews.com/news/202508060938089027,https://n.news.naver.com/mnews/article/014/0005388289?sid=103
탕후루,,“당뇨병 걱정되면 당장 영양제부터 손절하세요”,"<b>탕후루</b>, 젤리 등 다양한 종류를 다루는 이들은 “밥 대신 디저트”를 외치며 스스로를 당 중독자라고... 2023년 대한당뇨병학회 설원학술상, 2019년 강북삼성병원 핵심가치실천상, <b>2016</b>년 대한내분비학회 남곡학술상, 2014년... ",,https://woman.donga.com/3/all/12/5715112/1,https://woman.donga.com/3/all/12/5715112/1
탕후루,,중국인 ‘알바 천국’ 명동 노점… 그 뒤엔 다단계식 ‘불법 카르텔’,“<b>탕후루</b> 하오츠(好吃·맛있다).” “전하오칸(眞好看·정말 예뻐요)!” 지난 7일 오후 8시 서울 중구 명동... 서울 중구는 지난 <b>2016</b>년부터 노점 실명제를 운영하고 있다. 1년에 약 90만원을 받고 도로 점용 허가증을 내주는... ,,https://www.chosun.com/national/national_general/2025/06/11/SUCRCMIX5BGH7KTTYTIVL57ZJI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003910308?sid=102
탕후루,,&quot;이대론 안되겠다” 깨물고 할퀴고… 시민안전 위협에 ‘전장연 방지법...,이거는 제가 2018년도 그리고 그 전에 한 <b>2016</b>년도에 처음 뵀었는데 국군포로 귀환 용사분들을 우연히 만났다가... <b>탕후루</b> 꼬치 재사용 금지 조례안 이렇게 해서 귀엽다 이렇게 생각하고 있었는데 청소년의원들이 노인 일자리... ,,https://radio.ytn.co.kr/program/?f=2&id=103057&s_mcd=0433&s_hcd=01,https://radio.ytn.co.kr/program/?f=2&id=103057&s_mcd=0433&s_hcd=01
탕후루,,&quot;이대론 안되겠다&quot; 깨물고 할퀴고... 시민안전 위협에 '전장연 방지법'...,이거는 제가 2018년도 그리고 그 전에 한 <b>2016</b>년도에 처음 뵀었는데 국군포로 귀환 용사분들을 우연히 만났다가... <b>탕후루</b> 꼬치 재사용 금지 조례안 이렇게 해서 귀엽다 이렇게 생각하고 있었는데 청소년의원들이 노인 일자리... ,,https://www.ytn.co.kr/_ln/0103_202506101400354889,https://n.news.naver.com/mnews/article/052/0002203903?sid=102
탕후루,,[인터뷰]순이엔티 박창우 &quot;숏폼 기회의 땅…강제스타 발굴&quot;,"크리에이터 서이브(12)의 '마라<b>탕후루</b>'다. '그럼 제가 선배 맘에/탕탕 후루후루!/내 맘이 단짠단짠~'이라는... <b>2016</b>년 설립 후 한 번도 계약 분쟁이 없었고, 크리에이터와 재계약률이 높은 비결도 궁금했다. &quot;크리에이터에게... ",,https://www.newsis.com/view/NISX20250427_0003155057,https://n.news.naver.com/mnews/article/003/0013208083?sid=103
탕후루,,"<b>탕후루</b> 제치고 중고등생 최애 디저트 '1위' 등극한 뜻밖의 음식, 암울한...",한때 전국의 중고등학생 사이에서 유행하는 디저트였던 <b>탕후루</b>가 지고 새로운 디저트계의 강자가... 가격지수란 2014~<b>2016</b>년 평균가격 100을 두고 비교해 나타낸 수치를 의미한다. 유제품 가격지수는 2023년 9월 112까지... ,,https://www.wikitree.co.kr/articles/1035571,https://www.wikitree.co.kr/articles/1035571
탕후루,,사모펀드는 왜 F&amp;B 프랜차이즈를 사랑할까,"지난해 유행한 두바이초콜릿, 요아정, <b>탕후루</b> 등은 유행이 지났다. 유행에 민감하지 않고 주기적으로... 버거킹은 <b>2016</b>년 홍콩 사모펀드 어피너티에쿼티파트너스가 2100억원에 사들인 뒤 2021년 재매각을 추진했으나 M&amp;A... ",,https://magazine.hankyung.com/business/article/202503120370b,https://n.news.naver.com/mnews/article/050/0000088007?sid=101
